cs_ref_id,src_cs_student_id,gender,age,gpa_4,major,interested_domain,cs_projects,future_career,python_skill,sql_skill,java_skill,gpa_10,gpa_scale_note
CSREF142,142,Male,23,3.3,Computer Science,Artificial Intelligence,Reinforcement Learning,AI Researcher,Strong,Weak,Average,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF143,143,Female,22,3.5,Computer Science,Data Science,Data Mining,Data Analyst,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF144,144,Male,21,3.6,Computer Science,Web Development,Front-End Development,Web Developer,Weak,Strong,Average,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF145,145,Female,20,3.7,Computer Science,Machine Learning,Computer Vision,Machine Learning Engineer,Strong,Average,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF146,146,Female,22,3.7,Computer Science,Artificial Intelligence,Reinforcement Learning,AI Researcher,Strong,Average,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF147,147,Male,21,3.6,Computer Science,Data Science,Machine Learning,Data Scientist,Strong,Average,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF148,148,Female,20,3.8,Computer Science,Software Development,Mobile App Development,Software Engineer,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF149,149,Male,23,3.7,Computer Science,Web Development,E-commerce Website,Web Developer,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF150,150,Female,22,3.5,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF151,151,Male,21,3.9,Computer Science,Machine Learning,Image Classification,Machine Learning Engineer,Strong,Average,Weak,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF152,152,Female,22,3.7,Computer Science,Database Management,SQL Database Design,Database Administrator,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF153,153,Male,20,3.6,Computer Science,Cloud Computing,Cloud Infrastructure Management,Cloud Solutions Architect,Strong,Weak,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF154,154,Female,21,3.5,Computer Science,Mobile App Development,iOS App Development,Mobile App Developer,Weak,Strong,Average,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF155,155,Male,23,3.8,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Weak,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF156,156,Male,22,3.7,Computer Science,Web Development,Full-Stack Web App,Web Developer,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF157,157,Female,20,3.6,Computer Science,Cybersecurity,Security Auditing,Information Security Analyst,Strong,Average,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF158,158,Male,21,3.4,Computer Science,Machine Learning,Natural Language Processing,Machine Learning Engineer,Strong,Average,Weak,8.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF159,159,Female,22,3.5,Computer Science,Database Management,SQL Database Administration,Database Administrator,Weak,Strong,Average,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF160,160,Male,23,3.7,Computer Science,Cloud Computing,Cloud Solution Architecture,Cloud Solutions Architect,Strong,Strong,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF161,161,Female,20,3.8,Computer Science,Mobile App Development,Cross-Platform App Development,Mobile App Developer,Weak,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF162,162,Male,21,3.7,Computer Science,Artificial Intelligence,Reinforcement Learning,AI Researcher,Strong,Weak,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF163,163,Female,22,3.5,Computer Science,Data Science,Data Mining,Data Analyst,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF164,164,Male,23,3.6,Computer Science,Web Development,Front-End Development,Web Developer,Weak,Strong,Average,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF165,165,Female,20,3.7,Computer Science,Machine Learning,Computer Vision,Machine Learning Engineer,Strong,Average,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF166,166,Female,22,3.7,Computer Science,Artificial Intelligence,Neural Network Development,AI Researcher,Strong,Average,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF167,167,Male,21,3.6,Computer Science,Data Science,Big Data Analytics,Data Analyst,Average,Strong,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF168,168,Female,20,3.8,Computer Science,Software Development,Mobile App Development,Software Engineer,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF169,169,Male,23,3.7,Computer Science,Web Development,E-commerce Website,Web Developer,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF170,170,Female,22,3.5,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF171,171,Male,21,3.9,Computer Science,Machine Learning,Image Classification,Machine Learning Engineer,Strong,Average,Weak,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF172,172,Female,22,3.7,Computer Science,Database Management,SQL Database Design,Database Administrator,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF173,173,Male,20,3.6,Computer Science,Cloud Computing,Cloud Infrastructure Management,Cloud Solutions Architect,Strong,Weak,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF174,174,Female,21,3.5,Computer Science,Mobile App Development,iOS App Development,Mobile App Developer,Weak,Strong,Average,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF175,175,Male,23,3.8,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Weak,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF176,176,Male,22,3.7,Computer Science,Web Development,Full-Stack Web App,Web Developer,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF177,177,Female,20,3.6,Computer Science,Cybersecurity,Security Auditing,Information Security Analyst,Strong,Average,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF178,178,Male,21,3.4,Computer Science,Machine Learning,Natural Language Processing,Machine Learning Engineer,Strong,Average,Weak,8.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF179,179,Female,22,3.5,Computer Science,Database Management,SQL Database Administration,Database Administrator,Weak,Strong,Average,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF180,180,Male,23,3.7,Computer Science,Cloud Computing,Cloud Solution Architecture,Cloud Solutions Architect,Strong,Strong,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
